vacancy_id,query,title,locations,salary_range_from,salary_range_to,currency,published_at,employer,details_url,date_added,source
120506240,python,Инженер сопровождения омниканальной платформы,Кемерово,,,,2025-05-14T08:55:37+0300,Т1,https://api.hh.ru/vacancies/120506240?host=hh.ru,2025-05-16 00:01:49.362949,hh
119701362,python,Инженер 1-2 категории,Санкт-Петербург,,,,2025-05-14T08:55:21+0300,Радар ММС,https://api.hh.ru/vacancies/119701362?host=hh.ru,2025-05-16 00:01:49.362952,hh
119848423,python,Automation QA Engineer,Ташкент,,,,2025-05-14T08:54:50+0300,a1qa (ООО ITRANSITION),https://api.hh.ru/vacancies/119848423?host=hh.ru,2025-05-16 00:01:49.362956,hh
120203171,python,Программист / Программист Linux,Санкт-Петербург,,,,2025-05-14T08:52:17+0300,Анвиком,https://api.hh.ru/vacancies/120203171?host=hh.ru,2025-05-16 00:01:49.362959,hh
120505827,python,Инженер сопровождения в команду ЕПА (единая платформа аутентификации),Барнаул,,,,2025-05-14T08:50:32+0300,Т1,https://api.hh.ru/vacancies/120505827?host=hh.ru,2025-05-16 00:01:49.362963,hh
119619448,python,ML Lead,Москва,,,,2025-05-14T08:50:30+0300,Brand Analytics,https://api.hh.ru/vacancies/119619448?host=hh.ru,2025-05-16 00:01:49.362966,hh
120505758,python,Инженер сопровождения в команду ЕПА (единая платформа аутентификации),Новосибирск,,,,2025-05-14T08:49:14+0300,Т1,https://api.hh.ru/vacancies/120505758?host=hh.ru,2025-05-16 00:01:49.362969,hh
120504996,python,Разработчик С++ (junior),Москва,130000.0,,RUR,2025-05-14T08:36:05+0300,Уникальные Волоконные Приборы - Комплексные Системы,https://api.hh.ru/vacancies/120504996?host=hh.ru,2025-05-16 00:01:49.362973,hh
120504943,python,Golang-разработчик,Москва,,,,2025-05-14T08:35:15+0300,Уникальные Волоконные Приборы - Комплексные Системы,https://api.hh.ru/vacancies/120504943?host=hh.ru,2025-05-16 00:01:49.362977,hh
120503923,python,Site Reliability Engineer,Томск,,,,2025-05-14T08:19:55+0300,Т-Банк,https://api.hh.ru/vacancies/120503923?host=hh.ru,2025-05-16 00:01:49.362980,hh
118907517,python,Ведущий инженер-программист С++,Ярославль,150000.0,,RUR,2025-05-14T08:11:14+0300,Р2Б,https://api.hh.ru/vacancies/118907517?host=hh.ru,2025-05-16 00:01:49.362984,hh
120503269,python,Senior Data Analyst (CVM),Алматы,,,,2025-05-14T08:06:33+0300,"Beeline, ТМ",https://api.hh.ru/vacancies/120503269?host=hh.ru,2025-05-16 00:01:49.362987,hh
120503270,python,Senior Data Analyst (CVM),Астана,,,,2025-05-14T08:06:33+0300,"Beeline, ТМ",https://api.hh.ru/vacancies/120503270?host=hh.ru,2025-05-16 00:01:49.362990,hh
118712236,python,Junior+ / Pre-middle Fullstack Developer / Разработчик,Новосибирск,,120000.0,RUR,2025-05-14T08:06:28+0300,.wrk,https://api.hh.ru/vacancies/118712236?host=hh.ru,2025-05-16 00:01:49.362994,hh
117868946,python,Системный администратор,Астана,,900000.0,KZT,2025-05-14T08:06:02+0300,Documentolog,https://api.hh.ru/vacancies/117868946?host=hh.ru,2025-05-16 00:01:49.362997,hh
119979231,python,Middle Backend разработчик (Python),Астана,600000.0,800000.0,KZT,2025-05-14T07:54:21+0300,SOMNIUM,https://api.hh.ru/vacancies/119979231?host=hh.ru,2025-05-16 00:01:49.363001,hh
117559242,python,Web QA в Kolesa.kz (Manual + Automation),Алматы,600000.0,1350000.0,KZT,2025-05-14T07:47:02+0300,Kolesa (АО Колеса),https://api.hh.ru/vacancies/117559242?host=hh.ru,2025-05-16 00:01:49.363004,hh
120198951,python,QA automation engineer (Senior),Москва,,,,2025-05-14T07:43:57+0300,Опендэв,https://api.hh.ru/vacancies/120198951?host=hh.ru,2025-05-16 00:01:49.363008,hh
120502155,python,Инженер по внедрению AI и разработке чат-ботов,Москва,,,,2025-05-14T07:41:43+0300,ИЦ АЙ-ТЕКО,https://api.hh.ru/vacancies/120502155?host=hh.ru,2025-05-16 00:01:49.363011,hh
120501700,python,Инженер по автоматизации,Новосибирск,,,,2025-05-14T07:26:44+0300,Центр финансовых технологий,https://api.hh.ru/vacancies/120501700?host=hh.ru,2025-05-16 00:01:49.363015,hh
118448642,python,Инженер АСУ ТП 2 категории,Пермь,92400.0,100000.0,RUR,2025-05-14T06:53:23+0300,АСУ Инжиниринг,https://api.hh.ru/vacancies/118448642?host=hh.ru,2025-05-16 00:01:49.363018,hh
118450091,python,Инженер АСУ ТП 1 категории,Пермь,107600.0,122900.0,RUR,2025-05-14T06:53:18+0300,АСУ Инжиниринг,https://api.hh.ru/vacancies/118450091?host=hh.ru,2025-05-16 00:01:49.363022,hh
120050347,python,Дата аналитик,Алматы,,,,2025-05-14T06:51:38+0300,ОЭлИкс Групп (OLX Group),https://api.hh.ru/vacancies/120050347?host=hh.ru,2025-05-16 00:01:49.363025,hh
103634059,python,Системный администратор Unix,Новосибирск,,,,2025-05-14T06:50:35+0300,Центр финансовых технологий,https://api.hh.ru/vacancies/103634059?host=hh.ru,2025-05-16 00:01:49.363028,hh
85564127,python,DevOps инженер,Владивосток,110000.0,200000.0,RUR,2025-05-14T05:37:02+0300,Владлинк,https://api.hh.ru/vacancies/85564127?host=hh.ru,2025-05-16 00:01:49.363032,hh
120161661,python,Software Engineer,Ташкент,,,,2025-05-14T04:06:10+0300,Kodirov Beka,https://api.hh.ru/vacancies/120161661?host=hh.ru,2025-05-16 00:01:49.363036,hh
120357847,python,Middle Rust-разработчик,Иннополис,,,,2025-05-14T01:32:32+0300,Интеллектуальная видеоаналитика,https://api.hh.ru/vacancies/120357847?host=hh.ru,2025-05-16 00:01:49.363039,hh
117605448,python,Программист микроконтроллеров (С/C++),Екатеринбург,,230000.0,RUR,2025-05-13T23:55:12+0300,Алгоритм С,https://api.hh.ru/vacancies/117605448?host=hh.ru,2025-05-16 00:01:49.363042,hh
120497188,python,Data scientist,Москва,,,,2025-05-13T23:47:27+0300,ИЦ АЙ-ТЕКО,https://api.hh.ru/vacancies/120497188?host=hh.ru,2025-05-16 00:01:49.363045,hh
119611029,python,Ведущий инженер внедрения и сопровождения IT продукта,Нижний Новгород,150000.0,,RUR,2025-05-13T23:23:31+0300,ДипХакЛаб,https://api.hh.ru/vacancies/119611029?host=hh.ru,2025-05-16 00:01:49.363049,hh
119682083,python,Junior Product Analyst,Санкт-Петербург,,100000.0,RUR,2025-05-13T22:54:14+0300,Где мои дети,https://api.hh.ru/vacancies/119682083?host=hh.ru,2025-05-16 00:01:49.363053,hh
120496861,python,Platform Integration Engineer (Инженер интеграций),Санкт-Петербург,,,,2025-05-13T22:23:00+0300,YADRO,https://api.hh.ru/vacancies/120496861?host=hh.ru,2025-05-16 00:01:49.363056,hh
120496858,python,Platform Integration Engineer (Инженер интеграций),Москва,,,,2025-05-13T22:22:04+0300,YADRO,https://api.hh.ru/vacancies/120496858?host=hh.ru,2025-05-16 00:01:49.363060,hh
120496835,python,Platform Integration Engineer (Инженер интеграций),Нижний Новгород,,,,2025-05-13T22:15:00+0300,YADRO,https://api.hh.ru/vacancies/120496835?host=hh.ru,2025-05-16 00:01:49.363063,hh
119610669,python,Программист-разработчик MSSQL и Delphi (помощник),Москва,80000.0,,RUR,2025-05-13T21:54:22+0300,Флекскор,https://api.hh.ru/vacancies/119610669?host=hh.ru,2025-05-16 00:01:49.363066,hh
120496662,python,Senior Python developer,Москва,,,,2025-05-13T21:29:00+0300,БАЗИС,https://api.hh.ru/vacancies/120496662?host=hh.ru,2025-05-16 00:01:49.363192,hh
117567551,python,Разработчик Python (Junior+),Москва,,,,2025-05-13T20:45:52+0300,ГУП Московский социальный регистр,https://api.hh.ru/vacancies/117567551?host=hh.ru,2025-05-16 00:01:49.363200,hh
